"entities","keywords","summary"
"Universitatea Craiova, Conference League, Rakow, Noah","debut, faza ligii, teren propriu, meci, octombrie","Universitatea Craiova va debuta în faza ligii din Conference League pe 2 octombrie cu Rakow, dar primul meci pe teren propriu va fi cel cu Noah, pe 23 octombrie."
"Mirel Rădoi, Universitatea Craiova, Farul, SuperLigă","probleme de sănătate, meci, scor, etapa, disputat","Mirel Rădoi (44 de ani) s-a confruntat cu probleme de sănătate în finalul meciului Universitatea Craiova – Farul, scor 2-0, din etapa a noua în SuperLigă, disputat pe 14 septembrie."
"George Pușcaș, Bodrumspor, Edi Iordănescu, Legia","liber de contract, despărțire, mutare, interesat, formă","Ajuns la 29 de ani, George Pușcaș este liber de contract în momentul de față. După despărțirea de Bodrumspor, George Pușcaș își caută echipă. Edi Iordănescu s-a interesat de serviciile sale, însă mutarea a picat în cele din urmă. Legia l-a dorit pe Pușcaș: “Nu a fost interesat“ În căutarea formei din trecut, George Pușcaș își analizează […]"
"Marian Iancu, Rapid, Victor Angelescu, Alexandru Dobre, Hermannstadt","contestatar, poziție, evenimente, contrat, fan, galerie, eșec","Unul dintre cei mai puternici contestatari ai Rapidului, Marian Iancu a ținut să intervină după poziția luată de Victor Angelescu în cazul lui Alexandru Dobre. Concret, Alexandru Dobre s-a aflat în mijlocul evenimentelor în ultimele zile, după ce s-a contrat cu un fan din galeria Rapidului după eșecul cu Hermannstadt. Marian Iancu și-a scos pălăria […]"
"Alexandru Mitriță, echipa națională a României","retragere, anunțat, vârstă","Luni, 22 septembrie, Alexandru Mitriță (30 de ani) și-a anunțat retragerea de la echipa națională a României."
"Achraf Hakimi, Amelie, PSG, Paris, Procuratura","acuzat, viol, fotbalist marocan, negat, acuzații, judecat","Achraf Hakimi (26 de ani) a fost acuzat de viol de o tânără pe nume Amelie, de aceeași vârstă cu starul PSG-ului. Evenimentul s-ar fi petrecut în casa fotbalistului marocan din Paris, pe 25 februarie 2023, însă jucătorul a negat toate acuzațiile. Procuratura a cerut ca fotbalistul campioanei Europei să fie judecat, iar dacă va […]"
"România, Go Ahead Eagles","campioana, joi, terenul, olandezi, ora","Joi, 25 septembrie, campioana României joacă pe terenul olandezilor de la Go Ahead Eagles, de la ora 19:45."
"România, Ungaria, ultrașii olteni, jandarmii","futsal, întrerupt, bătaie, meci","Meciul de futsal România – Ungaria a fost întrerupt, după ce ultrașii olteni s-au luat la bătaie cu jandarmii."
"Jaqueline Cristian, Jessica Boyzas Maneiro, Beijing, Gabriela Ruse","învinsă, scor, primul tur, calificat, turul doi","Jaqueline Cristian a fost învinsă de Jessica Boyzas Maneiro, scor 4-6, 0-6, în primul tur de la Beijing. Tot joi dimineață, Gabriela Ruse s-a calificat în turul doi."
"Cristi Chivu, Inter","provocare, victorii, remiză, eșecuri, strategie, antrenor român","Numit în această vară la Inter, Cristi Chivu (44 de ani) trebuie să facă față unei provocări uriașe. Din momentul venirii la Inter, Cristi Chivu a înregistrat 5 victorii, o remiză și 3 eșecuri. Parcursul de până acum l-a făcut pe antrenorul român să aibă o nouă strategie, iar italienii scriu că a revenit la […]"
"Julian Alvarez, Rayo Vallecano, Atletico Madrid, Manchester City","valoare, victorie, scor, plătit, milioane de euro, cumpăra, vara 2024","Julian Alvarez (25 de ani) și-a demonstrat încă o dată valoarea în victoria cu Rayo Vallecano, scor 3-2, și a arătat de ce Atletico Madrid a plătit 75 de milioane de euro pentru a-l cumpăra de la Manchester City în vara anului 2024."
"Simona Halep","retras, oficial, tenis, februarie, 2025","Simona Halep (33 de ani) s-a retras oficial din tenis în luna februarie a anului 2025."
"CSA Steaua, FANATIK, MApN, Steaua","austeritate, fotbal, cheltuieli, reducă, șefii clubului","De la austeritate la fotbal: cazul CSA Steaua. FANATIK a întrebat MApN dacă are în plan să reducă cheltuielile pentru fotbal. Ne-au răspuns chiar șefii clubului Steaua"
"Pitești, Dani Coman, FC Argeș, Arsenal, Manchester City","primar, dezvăluiri, deces, părinte, amânat, mers","Primarul de la Pitești a făcut dezvăluiri incredibile despre ultimele zile din viața tatălui lui Dani Coman. Decesul părintelui oficialului de la FC Argeș a amânat mersul la Arsenal - Manchester City."
"SuperLiga, FRF","oficial, scandal, meci, etapa, suspendare","Un oficial al unei echipe din SuperLiga a făcut un scandal uriaș la un meci din etapa a 9-a, iar FRF a dictat o suspendare pe măsură."
"Go Ahead Eagles, Europa League","fotbal european, debut, poveste, aventura, teren propriu","În fotbalul european, fiecare debut scrie o poveste. Joi, Go Ahead Eagles își începe aventura în Europa League, pe teren propriu, contra celor de la"
"România, studenții","garsonieră, apartament, două camere, centre universitare, costă, variante","Află cât costă o garsonieră sau un apartament de două camere în marile centre universitare din România. Ce variante au studenții"
"CFR Cluj","campionat, pretenții, titlu, play-off, pericol","Deși a început campionatul cu pretenții la titlu, CFR Cluj se teme în acest moment pentru prezența în play-off: „Suntem în mare pericol”"
"Horațiu Potra","incertitudine, extrădare, șeful mercenarilor, tentativă, lovitură de stat, țară","Incertitudine totală privind extrădarea lui Horațiu Potra, șeful mercenarilor acuzat de tentativă de lovitură de stat! De ce e greu de prezis când va ajunge în țară?"
"Sergiu Mihalcea, George Simion","demisionat, partid, dosar, executare silită, implicat","Sergiu Mihalcea, care a demisionat recent din partidul condus de George Simion, a fost implicat într-un dosar de executare silită."
"BT, Kaufland, DM, România, 24pay","pană generalizată, plăți cu cardul, clienți, magazine, serviciul blocat","Pană generalizată la plățile cu cardul pe 24 septembrie 2025: clienții BT nu au putut plăti în Kaufland, DM și alte magazine din România. Serviciul 24pay blocat complet."
"Dinamo, Universitatea Craiova, Zeljko Kopic","pregătește, meci, vineri seară, deplasare, probleme, antrenorul","Dinamo se pregătește de meciul de vineri seară din deplasare cu Universitatea Craiova. Ce probleme a întâmpinat antrenorul Zeljko Kopic."
"Rapid, Alex Dobre, Dumitru Dragomir, Profețiile lui DON Mitică","butoi cu pulbere, scandal, suporteri, măsură, explicat","Rapid stă pe un butoi cu pulbere după scandalul dintre suporteri și Alex Dobre, iar Dumitru Dragomir a explicat la ”Profețiile lui DON Mitică” ce măsură trebuie luată."
"Florent Hasani, Rapid","fostul jucător, evoluții, noua echipă, golgheter, campionat, etape","Fostul jucător de la Rapid, Florent Hasani, are evoluții foarte bune la noua echipă și este golgheterul campionatului după primele 7 etape"
"familii politice, bugetul de stat, politicieni de rang","caracatița, mușcă, sute de mii, lei, buzunare, rude apropiate","Caracatița familiilor politice mușcă din bugetul de stat. Sute de mii de lei merg în fiecare lună în buzunarele unor rude apropiate ale politicienilor de rang"
"Liverpool","vești proaste, fundaș, transferat, milioane euro, accidentat, debut, luni bune","Vești proaste pentru Liverpool. Fundașul transferat pentru peste 30 de milioane de euro va rata luni bune după ce s-a accidentat la debut."
"FCSB, Universitatea Craiova, SuperLiga, UEFA","lupta, sezon european, ascensiune, clasament, coeficienți, optimistă","FCSB și Universitatea Craiova vor lupta în acest sezon european pentru o ascensiune a SuperLigii în clasamentul coeficienților UEFA. Locul 20 ar fi varianta cea mai optimistă."
"Vodafone, Europa","raport, conexiune, comunități, diviziune digitală, vulnerabilitate strategică","Vodafone a realizat raportul „Conexiune între comunități”, care arată că diviziunea digitală reprezintă o vulnerabilitate strategică majoră pentru Europa."
"Mihai Rotaru, FANATIK SUPERLIGA, Universitatea Craiova, Conference League","dezvăluit, direct, pachete, vândut, meciuri de acasă","Mihai Rotaru a dezvăluit, în direct la FANATIK SUPERLIGA, câte pachete a vândut Universitatea Craiova pentru cele trei meciuri de acasă din Conference League."
"La Liga, Europa League","biletul zilei, pariuri, câștig, meciuri, fotbal","Biletul zilei la pariuri de joi, 25 septembrie 2025, poate aduce un câștig de 276 de lei cu ajutorul a două meciuri de fotbal din La Liga și Europa League."
"FANATIK, Wyscout, Go Ahead Eagles, FCSB, Olanda","analizat, raport, meciuri, sezon, jucători, teamă","FANATIK a analizat raportul Wyscout al celor 7 meciuri disputate de Go Ahead Eagles în acest sezon. Cine sunt jucătorii de care FCSB trebuie să se teamă în Olanda."
"România, Campionatele Mondiale de Canotaj, Shanghai","sportivi, echipaje, concurs, septembrie, 2025","România participă la Campionatele Mondiale de Canotaj din Shanghai cu 39 de sportivi, împărţiţi în 13 echipaje. Concursul are loc între 21 şi 28 septembrie 2025."
"Lamine Yamal","accidentat, jurnaliști, fotbalist iberic, revină, gazon, trupa catalană","Lamine Yamal este în continuare accidentat, însă jurnaliștii au aflat când fotbalistul iberic ar putea să revină pe gazon pentru trupa catalană"
"Real Madrid","glume, jucător, 11 ani, revolta fanilor, baschet","Real Madrid, subiect de glume după ce a prezentat un jucător de 11 ani. Revolta fanilor din baschet când au văzut despre cine e vorba."
"FCSB, România, Europa League","campioana, început intens, campanie, faza principală, roș-albaștrii","FCSB, campioana României, are parte de un început intens de campanie în Europa League, faza principală, acolo unde roș-albaștrii evoluează pentru al"
"FANATIK, Fabrizio Romano, Adrian Mazilu, FCSB, Universitatea Craiova","revistă, interviu, adversare europene, sub lupă, celebru","Revista FANATIK 769 pe septembrie-octombrie: cine este celebrul Fabrizio Romano, interviu cu Adrian Mazilu, adversarele europene ale lui FCSB și Universitatea Craiova sub lupă."
"Teodora Stoica, Mihai Stoica, România","semnat, posturi TV, emisiune, prezenta, fiica","Teodora Stoica a semnat cu unul dintre cele mai îndrăgite posturi TV din România. Ce emisiune va prezenta fiica lui Mihai Stoica."
"Real Madrid, Barcelona, La Liga, El Clasico","așteptată, partidă, lume, sezon, data","Fără doar și poate că Real Madrid - Barcelona este cea mai așteptată partidă în întreaga lume, iar La Liga a decis data la care se va juca primul El Clasico al sezonului."
"FCSB, Leon de Kogel, Go Ahead Eagles","adversar, vorbit, site oficial, gânduri, transmis","Fostul adversar al FCSB-ului, Leon de Kogel, a vorbit pentru site-ul oficial al celor de la Go Ahead Eagles și le-a transmis gândurile sale."
"Mihai Stoica, Florin Tănase, Comisia de Disciplină, FRF","nota de plată, sancțiuni, critici, arbitraj, disciplină","A venit nota de plată în cazul lui Mihai Stoica și al lui Florin Tănase. Ce sancțiuni au primit de la Comisia de Disciplină a FRF pentru criticile îndreptate către arbitraj."
"Florin Bratu, FANATIK DINAMO, Dinamo, Sepsi","transmis, direct, probleme, play-off, antrenor, exemplu","Florin Bratu a transmis, în direct la FANATIK DINAMO, că Dinamo poate întâmpina probleme în lupta pentru play-off. Antrenorul a oferit exemplul lui Sepsi de anul trecut."
"Charlie Kirk","revoltă, club mare, Europa, fotbalist, cenzurat, conducere, postări, mediul online","Revoltă la un club mare din Europa. Cine este fotbalistul cenzurat de conducere după postările din mediul online despre Charlie Kirk."
"Mihai Stoica, FCSB, Go Ahead Eagles","campionat, situație, meci, joi seară, apărarea, colegi","Mihai Stoica a vorbit despre situația din campionat a FCSB-ului. Ce a precizat și înaintea meciului de joi seară cu Go Ahead Eagles. I-a luat apărarea unuia dintre colegi."
"Europa League, Champions League","uimire, microbișți, meci, defilat, rezultat uluitor, campionat intern","Spre uimirea microbiștilor, meciul zilei nu vine din Europa League. După ce a defilat în Champions League, a făcut un rezultat uluitor în campionatul intern"
"Go Ahead Eagles, FCSB, Europa League, România, Superliga","antrenor, se teme, meci direct, parcurs slab, campioana","Antrenorul lui Go Ahead Eagles se teme de FCSB înaintea meciului direct din Europa League în ciuda parcursului slab înregistrat de campioana României în Superliga"
"FANATIK, Florentin Pera, Bogdan Burcea, România, Campionatul Mondial","demisia, naționala feminină, handbal, selecționer, două luni","FANATIK a aflat că Florentin Pera și Bogdan Burcea și-au dat demisia de la naționala feminină de handbal. România rămâne fără selecționer cu două luni înainte de Campionatul Mondial."
"Dumitru Dragomir, Ilie Bolojan, Profeţiile lui DON Mitică","anticipat, emisiunea, efecte, electorat, măsuri","Dumitru Dragomir a anticipat în emisiunea ""Profeţiile lui DON Mitică"" efectele pe care le va avea asupra electoratului măsurile luate de Ilie Bolojan"
"Universitatea Craiova, Dinamo Bucureşti, Ion Oblemenco","întâlnesc, vineri, stadion, meci, etapa","Universitatea Craiova şi Dinamo Bucureşti se întâlnesc vineri, de la ora 21.00, pe stadionul „Ion Oblemenco”, într-un meci din etapa a 10-a"
"Adrian Mutu, FANATIK SUPERLIGA, Rădoi, Baiaram","poziția, conflict, Briliantul, atacant, olteni","Adrian Mutu și-a transmis, în direct la FANATIK SUPERLIGA, poziția în conflictul Rădoi - Baiaram. Ce spune „Briliantul” despre atacantul oltenilor."
"Edi Iordănescu, România, Legia, Jagiellonia","selecționer, dezamăgit, remizat, acasă, națională","Edi Iordănescu, fostul selecționer al naționalei României, dezamăgit după ce echipa sa, Legia, a remizat acasă cu Jagiellonia."
"Universitatea Craiova, Dinamo, CCA","veste teribilă, meci, arbitru, acuzat, olteni, sezon precedent","Universitatea Craiova a primit o veste teribilă înaintea meciului cu Dinamo. CCA a delegat un arbitru acuzat vehement de olteni în sezonul precedent."
"nativi, astre","noroc, bani mulți, șanse nemăsurate, 1 octombrie, aliniate, favoarea","Cei 5 nativi care au mare noroc, se bucură de bani mulți și șanse nemăsurate până pe 1 octombrie. Astrele sunt aliniate în favoarea lor."
"MLS","fotbalist, 38 de ani, cinci goluri, golgheter, echipa, play off, calificare","Fotbalistul de 38 de ani a ajuns la cinci goluri în ultimele nouă zile, fiind golgheterul la zi al MLS și calificându-și echipa în play offul MLS"
"UE","pensionare, tranziție, modele, flexibile, prag legal","Mai multe din UE au implementat modele care uşurează tranziţia către pensionare, oferind variante flexibile de lucru cu mult înainte de atingerea pragului legal."
"Vlad Pascu, Ambasada Bangladesh","tatăl, executare silită, proprietar, vilă, 2, 3 milioane euro, controversat mogul","Tatăl lui Vlad Pascu a pornit executarea silită împotriva proprietarului vilei de 2,3 milioane de euro care găzduiește Ambasada Bangladesh. Acesta este un controversat mogul"
"românii","preferințe, animal de companie, topul, preferințele politice, deținerea","Ce preferințe au românii, când vine vorba despre deținerea unui animal de companie. Cum arată topul, în funcție de preferințele politice"
"George Pușcaș, Legia Varșovia","decizia, atacant, refuzat, propunere, nemulțumit, fotbalist","George Pușcaș a luat decizia! Atacantul român a refuzat propunerea venită de la Legia Varșovia. Ce l-a nemulțumit pe fotbalist."
"fotbalisti, prezentatoare, artisti","siguranta, majoritatea, sticla, online, apar","Cu siguranta ai observat si tu ca majoritatea celor care apar „pe sticla” si online, indiferent ca ne referim la fotbalisti, prezentatoare, artisti etc.,"
"Adrian Mutu, FANATIK SUPERLIGA, FCSB, Go Ahead Eagles, Europa League","analizat, partidă, terenul olandezilor, disputa","Adrian Mutu a analizat la FANATIK SUPERLIGA partida pe care FCSB o va disputa pe terenul olandezilor de la Go Ahead Eagles în Europa League."
"SuperLiga, Superbet","pontul zilei, lovitura, mizați, meciuri, etapa","Cu pontul zilei de joi, 25 septembrie, din SuperLiga puteți să dați lovitura la Superbet dacă mizați inspirat pe meciurile din etapa a 11-a."
"sportiv, box","doliu, stins, meci pierdut, 27 de ani, câteva zile","Este doliu în lumea boxului. Un sportiv de 27 de ani s-a stins la doar câteva zile după un meci pierdut. Ce s-a întâmplat."
"Universitatea Craiova, Mihai Rotaru, Dinamo, Bănie","derby, atmosferă, stadion plin, așteaptă","Universitatea Craiova a intrat în atmosferă de derby, Mihai Rotaru o așteaptă pe Dinamo în Bănie cu un stadion plin."
"Sebastian Moga, Neagoe, Pandurii Târgu Jiu, Petrolul Ploiești","secund, cooptat, staff, rezultate slabe, sezon","Secund al lui Neagoe încă din 2006, de la Pandurii Târgu Jiu, Sebastian Moga a fost cooptat în stafful Petrolului Ploiești, echipă cu rezultate slabe în acest sezon"
"Florin Bratu, Dinamo, Zeljko Kopic","analizat, transferuri, vara, Mitraliera, jucători","Florin Bratu a analizat transferurile lui Dinamo din vara acestui an. „Mitraliera” știe unde mai are nevoie Zeljko Kopic de jucători."
"Dinamo, FCSB","haită, fotbalist, trei sezoane, rivali, transfer, impediment","Dinamo și-a dorit să aducă în „haită” un fotbalist ce și-a petrecut trei sezoane alături de rivalii de la FCSB. Care a fost impedimentul ce a oprit acest transfer"
"Dinamo Kiev, Vladislav Blănuță, FC U Craiova 1948","decizie, importantă, viitor, transferat, ultimă oră","Dinamo Kiev a luat o decizie importantă cu privire la viitorul lui Vladislav Blănuță, jucătorul transferat de la FC U Craiova 1948. Detalii de ultimă oră"
"Andrei Vochin, Dinamo, câinii","meciuri importante, cupe europene, performanță, istorie, fotbal românesc","Andrei Vochin a povestit două meciuri importante pentru Dinamo din cupele europene. Cu ce performanță au reușit ""câinii"" să scrie istorie pentru fotbalul românesc."
"Universitatea Craiova, Dinamo, Superliga","derby, partidă, etapa, olteni, puncte, clasament, lider, suporteri","Derby-ul Universitatea Craiova - Dinamo, a doua partidă din etapa a 11-a în Superliga, este important pentru olteni dincolo de punctele puse în joc și de pozițiile din clasament. Oltenii sunt primii în ierarhie și mai pot prelua un fotoliu de lider după meciul de vineri, în clasamentul suporterilor."
"Alexandru Mitriță, națională, tricolor","retras, reacții, renunțat, liniște, uita","Știrea că Alexandru Mitriță s-a retras de la națională e deja veche. Reacțiile curg, însă, în continuare. Și o vor face pentru încă una, maxim două zile. Apoi se va așterne liniștea, vom uita că Mitriță a renunțat la națională, la fel de repede cum vom uita că a jucat vreodată sub „tricolor”."
"Ovidiu Ioanițoaia, Gazeta, Rapid","scrie, scandal, ultimul","Ovidiu Ioanițoaia scrie în Gazeta despre ultimul scandal de la Rapid"
"Gabi Glăvan, Phoenix Rising Football Club, Go Ahead Eagles, FCSB, GSP Live","director, scouting, prefațat, duel, America","Gabi Glăvan, directorul departamentului de scouting de la Phoenix Rising Football Club, America, a prefațat la GSP Live duelul dintre Go Ahead Eagles și FCSB."
"Giacomo Naldi, Jannik Sinner, Gazzetta dello Sport","fizioterapeut, dopaj, interviu, relația actuală, fostul lider mondial","Fizioterapeutul Giacomo Naldi, implicat în cazul de dopaj al lui Jannik Sinner, a acordat un interviu pentru Gazzetta dello Sport, în care a vorbit despre relația actuală cu fostul lider mondial."
"Jaqueline Cristian, Jessica Bouzas Maneiro, Beijing, România, Sorana Cîrstea, Gabriela Ruse, WTA","învinsă, debut, turneu, turul al doilea, jucătoare","Jaqueline Cristian (27 de ani, 42 WTA) a fost învinsă la debut în turneul de la Beijing de Jessica Bouzas Maneiro (22 de ani, 48 WTA), cu 6-4, 6-0, într-o oră și șapte minute. România are două jucătoare în turul al doilea, pe Sorana Cîrstea și Gabriela Ruse."
"Gabriela Ruse, Rebecca Šramková, Beijing, WTA","calificat, turul al doilea, turneu, slovaca, trecut","Gabriela Ruse (27 de ani, 65 WTA) s-a calificat în turul al doilea al turneului de la Beijing, după ce a trecut de slovaca Rebecca Šramková (28 de ani, 55 WTA) cu 6-2, 6-2."
"Victor Pițurcă, România, Mircea Lucescu, Liga Națiunilor","selecționer, naționala, banca tehnică, mandat, victorii","Victor Pițurcă (69 de ani), fostul selecționer al României, a vorbit despre ceea ce se întâmplă la naționala României. Instalat pe banca tehnică în urmă cu mai bine de un an, Mircea Lucescu (80 de ani) începuse cu dreptul mandatul, reușind victorii pe linie în Liga Națiunilor."
"Alin Buzărin, GSP.ro, China","scrie, decizia-șoc, mijlocaș","Alin Buzărin scrie, pe GSP.ro, despre decizia-șoc a mijlocașului din China"
"Radu Drăgușin, Tottenham","antrenamente, ruptură, ligamente încrucișate, ianuarie, reluat","Radu Drăgușin și-a reluat de-o lună antrenamentele cu Tottenham, după ruptura de ligamente încrucișate suferită la sfârșitul lui ianuarie."
"Sandra Izbașa, Marian Urzică, Cătălin Zmărăndescu, Power Couple, Antena 1, Malta","cupluri, vedete, show, filmări, sportivi, campioană olimpică, gimnast, luptător","Nouă cupluri de vedete intră în provocarea vieții lor, odată cu sezonul 3 din show-ul Power Couple, la Antena 1. Show-ul este aproape de startul filmărilor, în Malta, iar în ediția din acest an participă și trei sportivi reprezentativi pentru sportul românesc: campioana olimpică Sandra Izbașa, gimnastul Marian Urzică și luptătorul Cătălin Zmărăndescu."
"Daniel Grigore, GSP.ro, Alex Dobre, Rapid","scrie, ceartă, suporteri","Daniel Grigore scrie în GSP.ro despre cearta dintre Alex Dobre și suporterii Rapidului."
"Ioan Vermeșan, Verona, Venezia, Serie A, Cupa Italiei","atacant, român, debut, șaisprezecimile de finală, loviturile de departajare, pierdut","Atacantul român Ioan Vermeșan (18 ani) a debutat miercuri seara pentru Verona, formație aflată în Serie A. Echipa acestuia a întâlnit-o pe Venezia în șaisprezecimile de finală ale Cupei Italiei și a pierdut la loviturile de departajare, după ce tabela indica 0-0 la finalul celor 90 de minute."
"Rapid, Giulești, Prietenii lui Ovidiu, Victor Angelescu, Superligă","optimism, oficiali, acționar minoritar, șanse, titlu, rivale","Rapid traversează un start de sezon bun, iar optimismul din Giulești se simte și în discursul oficialilor. Invitat la emisiunea „Prietenii lui Ovidiu”, Victor Angelescu, acționar minoritar al clubului, a vorbit deschis despre șansele Rapidului la titlu, dar și despre situația rivalelor din Superligă."
"Barcelona","planifică, transferuri, sezonul viitor, fundaș central, vizat","Barcelona planifică deja transferurile pentru sezonul viitor. Iar primul jucător vizat este un fundaș central."
"Jose Mourinho, Benfica Lisabona, Fenerbahce","contract, doi ani, semnat, pus pe liber","Jose Mourinho a semnat un contract pe doi ani cu Benfica Lisabona, după ce a fost pus pe liber de Fenerbahce."
"Europa League, GSP.ro","grupa unică, meciuri, programate, liveTEXT, astăzi","Grupa unică din Europa League începe astăzi, cu primele 9 meciuri. Primele două încep la 19:45, iar celelalte sunt programate de la 22:00. Toate vor fi liveTEXT pe GSP.ro."
